DATE,RR,TN,HTN,TX,HTX,TM,TMNX,DG,TAMPLI,TNTXM,FFM,FXI,DXI,HXI,FXY,DXY,HXY,FXI3S,HXI3S,UN,HUN,UX,HUX,DHUMI40,DHUMI80,TSVM,UM,ETPGRILLE,NEIGETOTX,NEIGETOT06
20220105,2.6,-0.4,1759.0,3.4,1217.0,0.9,1.5,389.0,3.8,1.5,2.4,9.6,330.0,733.0,5.7,360.0,1031.0,8.9,733.0,63.0,1244.0,99.0,329.0,0.0,1157.0,5.7,88.0,0.4,0.0,0.0
20220106,0.0,-2.5,1746.0,4.3,1327.0,-0.6,0.9,964.0,6.8,0.9,2.1,9.8,330.0,1347.0,6.0,360.0,1358.0,9.0,1347.0,68.0,1032.0,99.0,2304.0,0.0,1043.0,5.1,88.0,0.6,0.0,0.0
20220107,10.0,-6.9,718.0,1.6,2229.0,-1.2,-2.65,674.0,8.5,-2.7,1.2,6.3,170.0,2227.0,3.4,210.0,2253.0,5.6,2227.0,88.0,708.0,99.0,126.0,0.0,1440.0,5.4,96.0,0.0,0.0,
20220108,13.2,-0.7,733.0,6.3,2319.0,2.4,2.8,87.0,7.0,2.8,3.0,19.1,140.0,2115.0,9.6,150.0,2045.0,16.6,2115.0,70.0,1403.0,99.0,618.0,0.0,1231.0,6.4,89.0,0.5,0.0,0.0
20220109,7.6,0.4,737.0,2.2,601.0,1.8,1.3,0.0,1.8,1.3,1.7,18.9,240.0,54.0,6.1,200.0,3.0,15.3,54.0,82.0,3.0,98.0,745.0,0.0,1440.0,6.5,94.0,0.1,0.0,0.0
20220110,0.2,-2.7,1744.0,4.8,1232.0,-0.2,1.05,689.0,7.5,1.1,1.4,6.6,310.0,1320.0,4.2,350.0,1359.0,6.1,1320.0,71.0,1526.0,100.0,531.0,0.0,1231.0,5.6,92.0,0.4,0.0,0.0
20220111,0.0,-8.8,537.0,4.7,1320.0,-2.3,-2.05,915.0,13.5,-2.1,0.7,4.3,200.0,1418.0,2.4,200.0,1420.0,4.0,1418.0,63.0,1308.0,100.0,701.0,0.0,1198.0,4.7,89.0,0.2,0.0,0.0
20220112,0.0,-4.8,1749.0,0.3,1417.0,-2.4,-2.25,1422.0,5.1,-2.3,0.9,4.7,310.0,1103.0,2.5,320.0,1136.0,4.5,1103.0,73.0,1412.0,96.0,1.0,0.0,1231.0,4.4,87.0,0.3,0.0,0.0
20220113,0.0,-5.3,1900.0,0.9,1317.0,-4.4,-2.2,1328.0,6.2,-2.2,1.1,4.3,320.0,1251.0,2.4,310.0,1253.0,3.7,1251.0,76.0,1320.0,98.0,341.0,0.0,1374.0,4.1,91.0,0.4,0.0,0.0
20220114,0.2,-9.4,645.0,6.5,1449.0,-3.5,-1.45,1051.0,15.9,-1.5,0.6,4.0,320.0,1146.0,2.9,320.0,1150.0,3.8,1146.0,55.0,1453.0,100.0,842.0,0.0,1049.0,4.1,85.0,0.5,0.0,0.0
20220115,0.0,-9.2,651.0,7.6,1434.0,-3.2,-0.8,1047.0,16.8,-0.8,0.5,3.1,320.0,1342.0,2.4,330.0,1347.0,2.9,1344.0,55.0,1453.0,100.0,841.0,0.0,1100.0,4.1,85.0,0.6,0.0,0.0
20220116,0.0,-9.4,520.0,7.1,1338.0,-3.4,-1.15,1063.0,16.5,-1.2,0.9,4.1,320.0,1544.0,2.7,320.0,1550.0,3.9,1544.0,39.0,1400.0,100.0,853.0,11.0,1024.0,3.8,82.0,0.7,0.0,0.0
20220117,0.2,-7.4,2246.0,8.1,1328.0,-1.1,0.35,963.0,15.5,0.4,1.1,6.6,360.0,1542.0,4.5,320.0,1448.0,6.0,1444.0,62.0,1330.0,100.0,2005.0,0.0,990.0,4.8,85.0,0.6,0.0,0.0
20220118,0.0,-6.9,2337.0,-0.6,1329.0,-2.7,-3.75,1440.0,6.3,-3.8,0.8,3.1,140.0,1112.0,1.9,50.0,2028.0,2.7,2020.0,91.0,27.0,100.0,1127.0,0.0,1440.0,5.0,98.0,0.0,0.0,0.0
20220119,0.0,-7.5,716.0,0.2,1257.0,-2.5,-3.65,1398.0,7.7,-3.7,0.9,4.3,320.0,1522.0,2.8,320.0,1528.0,4.0,102.0,89.0,459.0,100.0,821.0,0.0,1440.0,5.1,97.0,0.0,0.0,0.0
20220120,0.2,-1.1,357.0,3.7,1423.0,0.6,1.3,655.0,4.8,1.3,2.1,9.6,350.0,2201.0,5.6,350.0,2338.0,8.5,2201.0,71.0,2354.0,100.0,810.0,0.0,1366.0,5.8,92.0,0.5,0.0,0.0
20220121,0.0,-6.0,604.0,4.0,1242.0,-1.2,-1.0,1002.0,10.0,-1.0,4.4,13.9,340.0,1343.0,8.7,350.0,1134.0,13.4,1343.0,51.0,1408.0,87.0,2311.0,0.0,164.0,3.9,69.0,1.2,0.0,0.0
20220122,0.0,-9.6,615.0,6.7,1336.0,-3.2,-1.45,1007.0,16.3,-1.5,0.9,7.2,320.0,1404.0,4.7,320.0,1409.0,6.9,1404.0,51.0,1300.0,98.0,2315.0,0.0,966.0,3.9,81.0,0.6,0.0,0.0
20220123,0.0,-8.4,312.0,-0.8,1452.0,-3.4,-4.6,1440.0,7.6,-4.6,0.7,3.0,340.0,1519.0,2.2,330.0,1533.0,2.9,1547.0,86.0,45.0,100.0,2041.0,0.0,1440.0,4.7,96.0,0.0,0.0,0.0
20220124,0.2,-7.3,739.0,7.9,1419.0,-2.1,0.3,1059.0,15.2,0.3,1.2,4.5,310.0,1253.0,3.2,320.0,1213.0,4.1,1207.0,55.0,1422.0,100.0,839.0,0.0,1113.0,4.6,88.0,0.7,0.0,0.0
20220125,0.0,-9.1,645.0,11.0,1455.0,-2.1,0.95,989.0,20.1,1.0,0.5,3.3,320.0,1339.0,2.5,330.0,1427.0,3.2,1419.0,40.0,1451.0,100.0,834.0,3.0,983.0,4.1,80.0,0.8,0.0,0.0
20220126,0.0,-9.9,602.0,9.1,1327.0,-3.0,-0.4,1015.0,19.0,-0.4,0.7,4.0,330.0,1347.0,2.9,330.0,1346.0,3.8,1347.0,41.0,1300.0,100.0,835.0,0.0,988.0,3.8,80.0,0.8,0.0,0.0
20220127,0.0,-8.8,19.0,3.7,1349.0,-3.4,-2.55,1187.0,12.5,-2.6,1.2,5.8,320.0,1404.0,4.0,320.0,1407.0,5.6,1404.0,64.0,1355.0,100.0,1948.0,0.0,1200.0,4.4,91.0,0.4,0.0,0.0
20220128,0.0,-7.5,239.0,8.4,1336.0,-0.6,0.45,906.0,15.9,0.5,1.1,6.1,290.0,1420.0,3.9,320.0,1621.0,5.0,1421.0,61.0,1246.0,100.0,840.0,0.0,1198.0,5.3,91.0,0.4,0.0,0.0
20220129,0.0,-3.4,631.0,5.5,1306.0,0.3,1.05,628.0,8.9,1.1,0.9,4.5,320.0,1401.0,3.1,320.0,1403.0,4.1,1358.0,57.0,1402.0,100.0,16.0,0.0,1002.0,5.4,87.0,0.4,0.0,0.0
20220130,0.2,-1.8,137.0,8.5,1310.0,1.3,3.35,595.0,10.3,3.4,1.3,8.5,350.0,1344.0,5.5,350.0,1348.0,8.1,1344.0,72.0,1312.0,100.0,152.0,0.0,1139.0,6.2,91.0,0.6,0.0,0.0
20220131,8.0,-5.5,2256.0,4.2,1422.0,1.1,-0.65,370.0,9.7,-0.7,1.6,15.1,320.0,1616.0,7.0,320.0,1621.0,13.5,1616.0,83.0,1436.0,100.0,1.0,0.0,1440.0,6.3,95.0,0.0,0.0,0.0
20220201,12.6,-2.9,822.0,3.4,1000.0,0.9,0.25,564.0,6.3,0.3,0.9,5.9,210.0,2321.0,3.5,220.0,2325.0,5.3,2321.0,69.0,1031.0,100.0,2231.0,0.0,1213.0,6.0,92.0,0.3,0.0,0.0
20220202,5.4,1.2,1801.0,6.9,1426.0,3.9,4.05,0.0,5.7,4.1,0.9,4.2,210.0,9.0,2.4,210.0,14.0,4.0,9.0,93.0,1900.0,100.0,1.0,0.0,1440.0,8.0,99.0,0.2,0.0,0.0
20220203,0.0,0.0,418.0,7.6,1449.0,2.3,3.8,130.0,7.6,3.8,1.1,4.0,310.0,1211.0,3.0,330.0,1235.0,3.7,1214.0,88.0,1554.0,100.0,1.0,0.0,1440.0,7.1,98.0,0.5,0.0,0.0
20220204,0.6,-1.8,2207.0,7.9,1502.0,3.9,3.05,0.0,9.7,3.1,0.8,4.4,230.0,1518.0,2.5,130.0,942.0,3.9,1518.0,65.0,1504.0,100.0,1.0,0.0,1144.0,7.3,90.0,0.3,0.0,0.0
20220205,0.0,-1.1,1800.0,7.8,1354.0,2.1,3.35,382.0,8.9,3.4,1.5,6.3,320.0,1220.0,3.6,320.0,1319.0,5.7,1220.0,53.0,1324.0,100.0,321.0,0.0,1070.0,6.3,88.0,0.6,0.0,0.0
20220206,18.4,-5.8,2245.0,6.8,332.0,2.1,0.5,507.0,12.6,0.5,2.4,10.3,170.0,1909.0,5.0,200.0,1410.0,9.7,1909.0,66.0,1133.0,99.0,400.0,0.0,1087.0,6.3,88.0,0.3,0.0,0.0
20220207,0.2,-1.3,1753.0,7.5,1247.0,2.8,3.1,402.0,8.8,3.1,2.4,15.4,20.0,428.0,8.5,10.0,434.0,14.4,428.0,52.0,1551.0,98.0,246.0,0.0,965.0,6.3,83.0,0.7,0.0,0.0
20220208,0.0,-7.6,651.0,10.5,1319.0,-0.6,1.45,930.0,18.1,1.5,0.8,4.7,310.0,1402.0,3.1,310.0,1404.0,4.3,1401.0,27.0,1229.0,100.0,810.0,211.0,912.0,4.2,76.0,0.9,0.0,
20220209,0.2,-6.5,511.0,15.4,1400.0,2.6,4.45,562.0,21.9,4.5,1.6,8.8,200.0,1440.0,4.6,210.0,1441.0,7.5,1440.0,28.0,1346.0,100.0,808.0,234.0,766.0,5.1,74.0,1.3,0.0,0.0
20220210,9.4,-4.5,626.0,13.0,1155.0,4.9,4.25,496.0,17.5,4.3,0.8,8.4,300.0,1223.0,3.3,310.0,1231.0,7.9,1223.0,46.0,1205.0,100.0,804.0,0.0,763.0,6.6,77.0,0.8,0.0,0.0
20220211,1.0,-0.1,1759.0,8.0,1440.0,2.6,3.95,364.0,8.1,4.0,2.8,10.5,330.0,1514.0,6.7,340.0,1516.0,9.6,1514.0,50.0,1505.0,97.0,248.0,0.0,968.0,6.2,82.0,1.0,0.0,0.0
20220212,0.0,-9.5,640.0,10.2,1341.0,1.5,0.35,563.0,19.7,0.4,1.9,13.7,140.0,2215.0,5.5,150.0,2217.0,12.0,2215.0,43.0,1337.0,98.0,805.0,0.0,551.0,4.9,72.0,0.8,0.0,0.0
20220213,0.0,3.5,1853.0,12.3,1433.0,8.4,7.9,0.0,8.8,7.9,4.7,15.5,230.0,1434.0,7.5,160.0,1912.0,13.8,1310.0,35.0,1229.0,79.0,25.0,298.0,0.0,5.6,51.0,2.2,0.0,0.0
20220214,20.0,3.1,1737.0,8.9,601.0,5.6,6.0,0.0,5.8,6.0,2.5,15.2,190.0,314.0,6.7,180.0,402.0,12.9,314.0,54.0,1.0,99.0,2141.0,0.0,959.0,7.3,82.0,0.7,0.0,0.0
20220215,5.0,-0.1,1739.0,5.7,1303.0,3.2,2.8,4.0,5.8,2.8,1.3,9.9,310.0,548.0,3.9,360.0,1439.0,9.0,620.0,75.0,1351.0,99.0,5.0,0.0,1382.0,7.0,91.0,0.4,0.0,0.0
20220216,23.6,0.5,1801.0,9.4,215.0,6.3,4.95,0.0,8.9,5.0,3.5,12.9,160.0,601.0,6.9,150.0,622.0,11.8,601.0,79.0,1.0,99.0,2139.0,0.0,1430.0,8.6,89.0,0.2,0.0,0.0
20220217,2.2,7.5,1801.0,13.3,1511.0,9.2,10.4,0.0,5.8,10.4,1.9,9.5,200.0,1217.0,5.0,210.0,1233.0,8.6,1217.0,59.0,1419.0,99.0,1957.0,0.0,1131.0,10.3,88.0,0.8,0.0,0.0
20220218,3.4,2.5,428.0,19.3,1346.0,9.7,10.9,0.0,16.8,10.9,2.3,15.6,220.0,1212.0,7.2,200.0,1321.0,13.2,1812.0,40.0,1243.0,100.0,442.0,5.0,760.0,8.8,77.0,1.9,0.0,0.0
20220219,0.0,-0.1,1752.0,8.6,1516.0,3.2,4.25,340.0,8.7,4.3,1.1,6.6,290.0,1318.0,3.5,340.0,1114.0,5.8,1318.0,41.0,1518.0,99.0,2256.0,0.0,879.0,6.0,79.0,1.0,0.0,0.0
20220220,5.8,-4.9,2240.0,10.0,1525.0,5.4,2.55,133.0,14.9,2.6,1.8,9.0,210.0,2045.0,4.1,200.0,1128.0,7.9,2045.0,62.0,1520.0,96.0,1.0,0.0,691.0,7.0,79.0,0.5,0.0,0.0
20220221,14.2,2.4,839.0,5.9,601.0,4.7,4.15,0.0,3.5,4.2,2.5,14.2,290.0,559.0,6.1,290.0,608.0,13.2,600.0,69.0,114.0,97.0,1825.0,0.0,1314.0,7.5,88.0,0.4,0.0,0.0
